City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,roma,43.2128,-75.4557,20.2,69,100,1.34,US,1730339654
188,luderitz,-26.6481,15.1594,17.86,61,0,4.48,NA,1730339806
189,bahir dar,11.5936,37.3908,16.17,89,100,1.05,ET,1730339807
190,alesund,62.4723,6.1549,6.29,92,75,5.66,NO,1730339808
191,gerash,27.6652,54.1371,13.08,28,0,0.28,IR,1730339809
192,zhangye,38.9342,100.4517,9.1,40,0,4.47,CN,1730339811
193,tongouson,5.0214,120.1328,28.75,73,82,1.5,PH,1730339812
194,diego de almagro,-26.3667,-70.05,18.95,49,0,0.96,CL,1730339813
195,yreka,41.7354,-122.6345,8.1,95,100,4.63,US,1730339814
196,taltal,-25.4,-70.4833,17.25,81,28,2.14,CL,1730339815
197,port alfred,-33.5906,26.891,13.43,96,16,3.29,ZA,1730339816
198,saint-pierre,-21.3393,55.4781,20.82,64,0,2.57,RE,1730339817
199,pakxan,18.3778,103.6601,25.77,78,37,0.46,LA,1730339819
200,sisimiut,66.9395,-53.6735,-8.89,61,13,7.38,GL,1730339820
201,lata,40.1629,-8.3327,12.21,91,71,2.44,PT,1730339821
202,gulf shores,30.246,-87.7008,25.0,81,20,4.12,US,1730339527
203,ingeniero guillermo n. juarez,-23.9,-61.85,31.1,40,94,3.74,AR,1730339823
204,talnakh,69.4865,88.3972,-13.13,95,100,3.56,RU,1730339824
205,sabang,5.8933,95.3214,27.76,69,55,3.27,ID,1730339825
206,ithaca,42.4406,-76.4966,16.5,85,85,2.38,US,1730339676
207,ilhabela,-23.7781,-45.3581,20.82,92,24,3.08,BR,1730339828
208,beyneu,45.3167,55.2,6.03,95,1,3.81,KZ,1730339829
209,wolmaransstad,-27.1974,25.9831,12.91,46,0,3.51,ZA,1730339830
210,sinabang,2.4803,96.3801,28.5,73,80,1.55,ID,1730339831
211,mendefera,14.8872,38.8153,16.13,79,99,0.62,ER,1730339832
212,luau,-10.7073,22.2247,17.88,97,100,1.5,AO,1730339833
213,shache,38.4167,77.2406,9.55,37,0,1.66,CN,1730339835
214,dudinka,69.4058,86.1778,-10.61,95,100,5.23,RU,1730339836
215,magadan,59.5667,150.8,-6.85,58,100,5.28,RU,1730339837
216,sibirskiy,53.5777,83.7577,-0.56,97,100,4.32,RU,1730339838
217,zaozersk,69.4005,32.4476,-0.25,76,92,8.49,RU,1730339839
218,ust'-kulom,61.6864,53.6902,2.78,86,100,5.72,RU,1730339840
219,mamfe,5.754,9.3123,23.07,97,79,0.69,CM,1730339842
220,margate,51.3813,1.3862,13.16,88,100,0.97,GB,1730339843
221,el calafate,-50.3408,-72.2768,10.08,85,100,3.38,AR,1730339844
222,ola,59.5833,151.2833,-6.83,57,100,8.61,RU,1730339845
223,flying fish cove,-10.4217,105.6791,26.82,89,100,5.14,CX,1730339846
224,anta,25.15,76.3,24.81,41,3,2.32,IN,1730339847
225,chadan,51.2833,91.5833,-2.4,52,88,0.25,RU,1730339848
226,pangody,65.85,74.4859,-6.61,93,98,4.45,RU,1730339850
227,nantucket,41.2835,-70.0995,16.06,88,75,5.14,US,1730339851
228,sawakin,19.1059,37.3321,29.43,68,41,2.41,SD,1730339852
229,richards bay,-28.783,32.0377,17.82,84,66,4.64,ZA,1730339853
230,lospalos,-8.5186,127.0025,29.16,55,100,1.97,TL,1730339854
231,buka,40.8108,69.1986,8.38,64,9,1.34,UZ,1730339855
232,tallkalakh,34.6684,36.2599,15.87,50,16,2.23,SY,1730339857
233,thunder bay,48.4001,-89.3168,2.99,93,75,1.03,CA,1730339858
234,port mathurin,-19.6833,63.4167,22.97,67,35,7.39,MU,1730339860
235,celestun,20.8667,-90.4,25.88,87,66,4.62,MX,1730339861
236,katsuura,35.1333,140.3,19.52,60,70,5.48,JP,1730339862
237,salym,60.0625,71.4789,-2.83,91,62,2.12,RU,1730339863
238,mazagao,-0.115,-51.2894,25.25,86,80,2.53,BR,1730339865
239,punta del este,-34.9667,-54.95,20.06,83,0,4.63,UY,1730339866
240,tanout,14.9709,8.8879,23.48,18,88,4.42,NE,1730339867
241,mar del plata,-38.0023,-57.5575,21.6,59,0,4.02,AR,1730339868
242,acajutla,13.5928,-89.8275,26.26,83,99,2.51,SV,1730339869
243,jiagedaqi,50.4167,124.1167,3.62,66,100,1.44,CN,1730339870
244,tamanrasset,22.785,5.5228,17.95,29,0,3.09,DZ,1730339871
245,anadyr,64.75,177.4833,-0.72,74,75,14.0,RU,1730339729
246,saint-francois,46.4154,3.9054,10.38,100,100,0.0,FR,1730339874
247,cedeira,43.6797,-8.0209,16.65,100,55,7.27,ES,1730339875
248,coquitlam,49.283,-122.7526,8.21,83,100,2.24,CA,1730339876
249,alpena,45.0617,-83.4327,22.18,77,100,3.09,US,1730339877
250,saint-philippe,-21.3585,55.7679,21.73,75,59,5.29,RE,1730339878
251,penzance,50.1186,-5.5371,13.38,83,61,4.75,GB,1730339880
252,tolanaro,-25.0319,46.9987,25.04,73,75,7.2,MG,1730339881
253,horta,38.5333,-28.6333,20.57,89,14,6.71,PT,1730339882
254,myskhako,44.6714,37.7433,10.98,77,18,0.84,RU,1730339883
255,mount gambier,-37.8333,140.7667,16.62,49,67,4.83,AU,1730339884
256,nizhnesortymskiy,62.4397,71.7603,-1.9,92,93,4.1,RU,1730339885
257,crucecita,-28.95,-58.9833,21.97,58,0,4.82,AR,1730339886
258,san miguel,13.4833,-88.1833,23.87,96,100,0.12,SV,1730339888
259,st. john's,47.5649,-52.7093,1.2,85,40,1.03,CA,1730339889
260,vuktyl,63.8567,57.3094,1.68,88,100,6.64,RU,1730339890
261,velikiye luki,56.34,30.5452,4.75,75,42,5.57,RU,1730339891
262,bamiantong,44.9333,130.5333,9.02,61,100,2.55,CN,1730339892
263,pau,43.4167,-0.5833,10.36,100,20,1.03,FR,1730339893
264,kayyerkan,69.3786,87.7439,-12.04,96,100,3.09,RU,1730339894
265,aur,8.1499,171.1687,28.4,76,41,4.22,MH,1730339896
266,vodnyy,63.5046,53.4095,2.94,78,100,6.38,RU,1730339897
267,gadzhiyevo,69.2551,33.3362,1.36,76,100,8.02,RU,1730339898
268,petauke,-14.2426,31.3253,21.84,79,100,1.86,ZM,1730339899
269,palu,-0.8917,119.8707,33.57,50,77,0.86,ID,1730339900
270,nova sintra,14.8667,-24.7167,26.09,76,100,2.9,CV,1730339901
271,seguela,7.9611,-6.6731,21.93,95,58,1.13,CI,1730339902
272,sidi khaled,34.387,4.9879,20.71,57,0,0.76,DZ,1730339904
273,northam,51.0333,-4.2167,11.4,87,56,1.7,GB,1730339905
274,sabzevar,36.2126,57.6819,11.41,32,12,3.19,IR,1730339906
275,lushun,38.8,121.2667,20.12,57,7,2.23,CN,1730339907
276,palmer,42.1584,-72.3287,16.96,68,100,2.76,US,1730339908
277,namrup,27.1833,95.3333,22.87,85,100,0.55,IN,1730339909
278,al jawf,29.5,38.75,17.92,53,0,2.44,SA,1730339911
279,biltine,14.5333,20.9167,23.14,21,1,3.41,TD,1730339912
280,kugesi,56.029,47.2925,0.81,100,75,8.0,RU,1730339913
281,ariquemes,-9.9133,-63.0408,25.6,68,34,1.29,BR,1730339914
282,segezha,63.7415,34.3222,0.21,83,99,8.06,RU,1730339915
283,neyriz,29.1988,54.3278,14.68,25,0,1.79,IR,1730339916
284,egilsstadir,65.2653,-14.3948,-0.05,69,0,3.6,IS,1730339918
285,qaqortoq,60.7167,-46.0333,-11.67,60,0,3.22,GL,1730339919
286,swedru,5.5371,-0.6998,23.16,94,63,0.96,GH,1730339920
287,morbi,22.8167,70.8333,26.53,39,0,2.52,IN,1730339921
288,akureyri,65.6835,-18.0878,2.96,75,75,2.57,IS,1730339922
289,tinyahuarco,-10.75,-76.3,5.53,86,100,0.93,PE,1730339923
290,cambria,35.5641,-121.0808,12.81,81,6,0.89,US,1730339924
291,carauari,-4.8828,-66.8958,26.91,68,65,1.38,BR,1730339926
292,grand falls-windsor,48.9332,-55.6649,-0.28,87,100,3.64,CA,1730339927
293,at taj,24.2049,23.2857,15.58,45,74,4.01,LY,1730339928
294,aswan,24.0934,32.907,19.61,48,0,2.57,EG,1730339929
295,sao bento do sul,-26.2503,-49.3786,16.8,99,99,1.76,BR,1730339930
296,adrar,20.5022,-10.0711,27.02,25,99,3.72,MR,1730339931
297,la passe,45.5549,-0.8967,14.8,84,0,3.67,FR,1730339932
298,bodo,67.28,14.405,3.02,68,75,10.29,NO,1730339934
299,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1730339935
300,nuuk,64.1835,-51.7216,-5.07,49,5,3.9,GL,1730339936
301,registro,-24.4875,-47.8436,18.17,99,20,0.69,BR,1730339937
302,verkhovazh'ye,60.7472,42.0465,1.65,97,100,3.35,RU,1730339938
303,qamdo,31.1667,97.2333,4.68,54,94,1.81,CN,1730339939
304,masterton,-40.9597,175.6575,16.02,65,64,4.82,NZ,1730339940
305,mournies,35.4764,24.0092,17.22,88,40,3.09,GR,1730339942
306,mahina,-17.5065,-149.489,27.87,61,20,5.66,PF,1730339943
307,mount isa,-20.7333,139.5,36.87,15,0,4.63,AU,1730339944
308,santa ines,-3.6667,-45.38,25.57,73,25,2.63,BR,1730339945
309,broome,42.2506,-75.833,16.49,81,100,1.81,US,1730339946
310,sitges,41.2351,1.8119,20.73,78,68,6.09,ES,1730339947
311,catemaco,18.4167,-95.1167,21.82,96,29,1.27,MX,1730339949
312,ghat,24.9647,10.1728,20.96,32,6,0.61,LY,1730339950
313,yinchuan,38.4681,106.2731,13.3,70,14,1.79,CN,1730339952
314,el sauzal de rodriguez,31.9,-116.6833,16.34,79,0,0.66,MX,1730339953
315,greenville,35.6127,-77.3663,19.52,92,0,2.57,US,1730339954
316,scottburgh,-30.2867,30.7532,16.39,75,3,4.04,ZA,1730339955
317,eynesil,41.0645,39.1438,12.69,81,62,2.18,TR,1730339957
318,valdivia,-39.8142,-73.2459,12.05,100,30,0.46,CL,1730339958
319,hurstpierpoint,50.9339,-0.1801,12.22,93,8,2.3,GB,1730339959
320,kavieng,-2.5744,150.7967,29.55,67,91,0.63,PG,1730339960
321,vila franca do campo,37.7167,-25.4333,18.27,99,2,2.79,PT,1730339961
322,hermanus,-34.4187,19.2345,13.22,81,1,4.34,ZA,1730339962
323,cosamaloapan,18.3667,-95.8,23.77,92,43,2.3,MX,1730339964
324,maryville,35.7565,-83.9705,19.11,87,75,0.0,US,1730339965
325,avila,40.5833,-5.0,10.12,94,100,3.51,ES,1730339966
326,inarajan village,13.2736,144.7484,30.22,82,9,8.87,GU,1730339967
327,mantua,45.1667,10.7833,12.21,93,7,2.13,IT,1730339968
328,kolpashevo,58.3131,82.9089,-3.85,93,95,1.12,RU,1730339969
329,west bay,19.3667,-81.4167,28.04,78,20,5.14,KY,1730339970
330,chernyshevskiy,63.0128,112.4714,-15.94,93,100,0.48,RU,1730339972
331,nagqu,31.5,92.0,1.14,42,0,2.1,CN,1730339973
332,greymouth,-42.4667,171.2,14.58,74,98,3.37,NZ,1730339974
333,uliastay,47.7417,96.8444,-7.57,59,70,2.17,MN,1730339975
334,vrangel',42.7297,133.0839,11.01,62,100,1.7,RU,1730339976
335,fuyu,45.1833,124.8167,12.16,49,11,6.55,CN,1730339977
336,quellon,-43.1167,-73.6167,8.82,92,6,1.92,CL,1730339978
337,isafjordur,66.0755,-23.124,-3.09,90,96,2.08,IS,1730339980
338,naze,28.3667,129.4833,24.51,90,100,6.88,JP,1730339981
339,rumoi,43.9344,141.6428,12.13,59,16,5.67,JP,1730339982
340,cananeia,-25.0147,-47.9267,20.61,90,50,3.17,BR,1730339983
341,santa cruz,-17.8,-63.1667,26.7,89,20,1.54,BO,1730339985
342,san antonio de pale,-1.4014,5.6325,25.5,83,52,3.59,GQ,1730339986
343,kostomuksha,64.571,30.5767,-3.17,79,95,6.34,RU,1730339988
344,okhotsk,59.3833,143.3,-5.77,67,100,8.22,RU,1730339989
345,sitka,57.0531,-135.33,6.52,89,9,2.08,US,1730339990
346,ivdel',60.6911,60.4206,-1.92,94,60,2.69,RU,1730339992
347,porto murtinho,-21.6989,-57.8825,30.75,36,93,2.08,BR,1730339993
348,pecangaan,-6.6978,110.7107,31.6,55,72,2.74,ID,1730339995
349,walvis bay,-22.9575,14.5053,14.53,94,8,3.09,NA,1730339996
350,kem',64.9555,34.5793,0.4,80,100,7.77,RU,1730339997
351,sandnessjoen,66.0217,12.6316,5.03,60,100,7.95,NO,1730339998
352,tangalle,6.024,80.7911,27.3,81,96,2.59,LK,1730339999
353,barra do corda,-5.5,-45.25,25.3,65,86,0.96,BR,1730340000
354,fort mcmurray,56.7268,-111.381,-3.23,74,75,2.06,CA,1730340001
